"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Antonio Brown","PIT","WR1","7","1","10","4.0","1.9","5.0","+4.0"
"2","","Le'Veon Bell","PIT","RB1","7","1","9","2.0","1.7","2.0","0.0"
"3","","Todd Gurley","LAR","RB2","12","1","6","2.1","1.0","1.0","-2.0"
"4","","DeAndre Hopkins","HOU","WR2","10","3","18","6.7","2.4","8.0","+4.0"
"5","","David Johnson","ARI","RB3","9","1","14","4.0","2.6","3.0","-2.0"
"6","","Odell Beckham Jr.","NYG","WR3","9","2","13","8.5","2.7","10.0","+4.0"
"7","","Ezekiel Elliott","DAL","RB4","8","1","11","5.6","2.0","4.0","-3.0"
"8","","Julio Jones","ATL","WR4","8","6","19","10.5","2.7","13.0","+5.0"
"9","","Michael Thomas","NO","WR5","6","3","17","10.9","3.0","15.0","+6.0"
"10","","Alvin Kamara","NO","RB5","6","1","18","7.5","3.4","6.0","-4.0"
"11","","Keenan Allen","LAC","WR6","8","3","18","11.7","3.3","16.0","+5.0"
"12","","Saquon Barkley","NYG","RB6","9","4","41","11.5","6.7","7.0","-5.0"
"13","","A.J. Green","CIN","WR7","9","5","25","15.8","3.8","18.0","+5.0"
"14","","Davante Adams","GB","WR8","7","8","26","17.0","3.9","19.0","+5.0"
"15","","Kareem Hunt","KC","RB7","12","6","31","14.2","5.4","9.0","-6.0"
"16","","Melvin Gordon","LAC","RB8","8","8","33","16.0","6.4","11.0","-5.0"
"17","","Dalvin Cook","MIN","RB9","10","8","34","18.8","6.0","14.0","-3.0"
"18","","Doug Baldwin","SEA","WR9","7","9","38","22.3","5.1","30.0","+12.0"
"19","","Mike Evans","TB","WR10","5","12","44","22.4","5.8","21.0","+2.0"
"20","","Leonard Fournette","JAC","RB10","9","7","50","20.0","8.3","12.0","-8.0"
"21","","Rob Gronkowski","NE","TE1","11","11","57","24.6","10.5","22.0","+1.0"
"22","","Adam Thielen","MIN","WR11","10","10","38","25.6","6.4","29.0","+7.0"
"23","","Travis Kelce","KC","TE2","12","17","45","25.7","6.6","26.0","+3.0"
"24","","Larry Fitzgerald","ARI","WR12","9","12","48","26.5","7.6","36.0","+12.0"
"25","","Christian McCaffrey","CAR","RB11","4","12","51","23.3","7.9","17.0","-8.0"
"26","","Jerick McKinnon","SF","RB12","11","12","58","23.7","7.6","23.0","-3.0"
"27","","Devonta Freeman","ATL","RB13","8","14","46","25.3","6.6","20.0","-7.0"
"28","","T.Y. Hilton","IND","WR13","9","12","59","28.7","8.8","32.0","+4.0"
"29","","Stefon Diggs","MIN","WR14","10","16","49","30.5","6.9","34.0","+5.0"
"30","","Tyreek Hill","KC","WR15","12","18","51","31.2","7.3","28.0","-2.0"
"31","","Demaryius Thomas","DEN","WR16","10","17","48","33.0","6.7","44.0","+13.0"
"32","","Golden Tate","DET","WR17","6","19","48","34.5","5.4","47.0","+15.0"
"33","","Zach Ertz","PHI","TE3","9","12","65","35.1","10.6","33.0","0.0"
"34","","Amari Cooper","OAK","WR18","7","17","95","36.1","11.1","37.0","+3.0"
"35","","Aaron Rodgers","GB","QB1","7","18","57","37.4","6.7","31.0","-4.0"
"36","","Jordan Howard","CHI","RB14","5","22","64","36.1","8.9","25.0","-11.0"
"37","","Joe Mixon","CIN","RB15","9","13","62","36.8","9.8","24.0","-13.0"
"38","","Alshon Jeffery","PHI","WR19","9","18","62","41.5","9.5","51.0","+13.0"
"39","","Allen Robinson","CHI","WR20","5","19","153","42.2","20.4","41.0","+2.0"
"40","","Jarvis Landry","CLE","WR21","11","19","88","44.5","14.3","50.0","+10.0"
"41","","LeSean McCoy","BUF","RB16","11","16","112","42.2","23.0","27.0","-14.0"
"42","","Josh Gordon","CLE","WR22","11","7","100","45.5","16.8","35.0","-7.0"
"43","","JuJu Smith-Schuster","PIT","WR23","7","25","86","46.8","10.7","43.0","0.0"
"44","","Kenyan Drake","MIA","RB17","11","23","88","43.9","11.9","40.0","-4.0"
"45","","Alex Collins","BAL","RB18","10","28","82","48.0","11.6","46.0","+1.0"
"46","","Russell Wilson","SEA","QB2","7","36","76","48.1","10.5","53.0","+7.0"
"47","","Brandin Cooks","LAR","WR24","12","24","82","53.5","13.4","49.0","+2.0"
"48","","Michael Crabtree","BAL","WR25","10","28","98","54.5","14.6","68.0","+20.0"
"49","","Tom Brady","NE","QB3","11","28","70","53.3","8.9","56.0","+7.0"
"50","","Derrius Guice","WAS","RB19","4","32","90","53.9","14.3","38.0","-12.0"
"51","","Marvin Jones","DET","WR26","6","34","108","57.5","12.8","58.0","+7.0"
"52","","Rashaad Penny","SEA","RB20","7","32","140","58.6","21.5","42.0","-10.0"
"53","","Jay Ajayi","PHI","RB21","9","32","101","58.9","15.6","48.0","-5.0"
"54","","Deshaun Watson","HOU","QB4","10","32","88","59.6","11.5","45.0","-9.0"
"55","","Dion Lewis","TEN","RB22","8","31","95","60.4","14.7","61.0","+6.0"
"56","","Corey Davis","TEN","WR27","8","36","126","63.2","18.9","64.0","+8.0"
"57","","Cam Newton","CAR","QB5","4","37","93","61.8","12.6","65.0","+8.0"
"58","","Mark Ingram","NO","RB23","6","39","100","62.3","13.6","55.0","-3.0"
"59","","Greg Olsen","CAR","TE4","4","32","120","65.1","18.0","63.0","+4.0"
"60","","Lamar Miller","HOU","RB24","10","37","109","62.7","15.5","62.0","+2.0"
"61","","Pierre Garcon","SF","WR28","11","22","97","65.7","13.9","80.0","+19.0"
"62","","Evan Engram","NYG","TE5","9","17","129","67.5","21.1","59.0","-3.0"
"63","","Derrick Henry","TEN","RB25","8","26","114","65.2","20.4","39.0","-24.0"
"64","","Royce Freeman","DEN","RB26","10","31","117","66.8","18.8","81.0","+17.0"
"65","","Delanie Walker","TEN","TE6","8","42","113","70.4","13.6","73.0","+8.0"
"66","","Jamison Crowder","WAS","WR29","4","36","101","70.6","16.9","87.0","+21.0"
"67","","Emmanuel Sanders","DEN","WR30","10","38","124","71.2","17.7","83.0","+16.0"
"68","","Carson Wentz","PHI","QB6","9","35","125","69.1","15.9","60.0","-8.0"
"69","","Sammy Watkins","KC","WR31","12","31","130","72.4","17.8","66.0","-3.0"
"70","","Ronald Jones II","TB","RB27","5","33","186","70.2","24.4","54.0","-16.0"
"71","","Drew Brees","NO","QB7","6","43","108","70.6","13.6","76.0","+5.0"
"72","","Sony Michel","NE","RB28","11","33","139","71.0","21.2","52.0","-20.0"
"73","","Robert Woods","LAR","WR32","12","36","182","73.7","26.0","79.0","+6.0"
"74","","Jimmy Graham","GB","TE7","7","29","128","74.7","19.0","57.0","-17.0"
"75","","Chris Hogan","NE","WR33","11","31","243","75.7","29.5","70.0","-5.0"
"76","","Devin Funchess","CAR","WR34","4","37","124","76.8","17.2","74.0","-2.0"
"77","","Duke Johnson","CLE","RB29","11","35","117","75.9","21.4","85.0","+8.0"
"78","","Kyle Rudolph","MIN","TE8","10","47","131","80.6","16.6","75.0","-3.0"
"79","","Kirk Cousins","MIN","QB8","10","47","124","78.4","16.2","82.0","+3.0"
"80","","Cooper Kupp","LAR","WR35","12","18","108","80.9","14.8","86.0","+6.0"
"81","","Chris Thompson","WAS","RB30","4","40","138","79.5","22.7","103.0","+22.0"
"82","","Randall Cobb","GB","WR36","7","41","135","82.3","23.0","92.0","+10.0"
"83","","Devante Parker","MIA","WR37","11","42","132","83.1","18.6","88.0","+5.0"
"84","","Robby Anderson","NYJ","WR38","11","41","132","85.5","17.6","99.0","+15.0"
"85","","Tevin Coleman","ATL","RB31","8","53","148","83.8","18.1","67.0","-18.0"
"86","","Tarik Cohen","CHI","RB32","5","45","149","85.3","23.9","72.0","-14.0"
"87","","Matthew Stafford","DET","QB9","6","63","128","88.1","14.2","97.0","+10.0"
"88","","Julian Edelman","NE","WR39","11","27","167","90.7","26.4","71.0","-17.0"
"89","","Will Fuller","HOU","WR40","10","45","147","94.9","20.5","69.0","-20.0"
"90","","Marlon Mack","IND","RB33","9","53","151","93.5","21.5","84.0","-6.0"
"91","","Marshawn Lynch","OAK","RB34","7","60","159","93.8","23.7","77.0","-14.0"
"92","","Sterling Shepard","NYG","WR41","9","54","133","95.8","16.2","107.0","+15.0"
"93","","Rex Burkhead","NE","RB35","11","40","172","93.8","28.8","94.0","+1.0"
"94","","Jordy Nelson","OAK","WR42","7","44","129","97.0","18.9","101.0","+7.0"
"95","","Marquise Goodwin","SF","WR43","11","55","248","97.9","27.8","100.0","+5.0"
"96","","Nelson Agholor","PHI","WR44","9","56","135","98.5","15.4","106.0","+10.0"
"97","","Jordan Reed","WAS","TE9","4","57","155","100.3","16.7","89.0","-8.0"
"98","","Ben Roethlisberger","PIT","QB10","7","53","148","98.9","18.5","102.0","+4.0"
"99","","Trey Burton","CHI","TE10","5","51","200","100.8","25.9","91.0","-8.0"
"100","","Jimmy Garoppolo","SF","QB11","11","54","143","102.3","19.5","93.0","-7.0"
"101","","Jack Doyle","IND","TE11","9","48","152","103.1","21.5","117.0","+16.0"
"102","","Andrew Luck","IND","QB12","9","55","181","103.6","27.7","98.0","-4.0"
"103","","Rishard Matthews","TEN","WR45","8","39","180","106.7","22.2","143.0","+40.0"
"104","","Kerryon Johnson","DET","RB36","6","57","193","105.5","29.3","78.0","-26.0"
"105","","Kelvin Benjamin","BUF","WR46","11","52","159","106.5","18.8","116.0","+11.0"
"106","","Philip Rivers","LAC","QB13","8","59","167","107.4","20.0","112.0","+6.0"
"107","","Kenny Stills","MIA","WR47","11","62","240","110.5","33.1","128.0","+21.0"
"108","","Marqise Lee","JAC","WR48","9","60","167","108.0","21.6","124.0","+16.0"
"109","","Jamaal Williams","GB","RB37","7","58","167","107.5","27.5","95.0","-14.0"
"110","","Isaiah Crowell","NYJ","RB38","11","71","174","111.6","20.5","96.0","-14.0"
"111","","Carlos Hyde","CLE","RB39","11","53","195","112.7","27.3","90.0","-21.0"
"112","","C.J. Anderson","CAR","RB40","4","54","177","112.5","24.1","108.0","-4.0"
"113","","George Kittle","SF","TE12","11","73","208","117.9","25.4","119.0","+6.0"
"114","","Jared Goff","LAR","QB14","12","69","168","114.9","22.3","109.0","-5.0"
"115","","Allen Hurns","DAL","WR49","8","53","244","116.1","31.8","118.0","+3.0"
"116","","Patrick Mahomes","KC","QB15","12","56","196","119.3","26.4","110.0","-6.0"
"117","","Matt Ryan","ATL","QB16","8","62","171","119.7","19.5","104.0","-13.0"
"118","","Marcus Mariota","TEN","QB17","8","55","175","123.7","24.0","120.0","+2.0"
"119","","Theo Riddick","DET","RB41","6","82","165","121.7","21.1","149.0","+30.0"
"120","","Josh Doctson","WAS","WR50","4","81","174","122.5","18.2","145.0","+25.0"
"121","","Ty Montgomery","GB","RB42","7","72","195","124.7","26.2","115.0","-6.0"
"122","","DeSean Jackson","TB","WR51","5","66","192","129.8","20.9","163.0","+41.0"
"123","","David Njoku","CLE","TE13","11","63","230","132.8","23.5","122.0","-1.0"
"124","","Giovani Bernard","CIN","RB43","9","69","235","130.0","31.0","136.0","+12.0"
"125","","James White","NE","RB44","11","89","218","131.2","24.9","154.0","+29.0"
"126","","Nick Chubb","CLE","RB45","11","82","230","131.8","27.5","113.0","-13.0"
"127","","D.J. Moore","CAR","WR52","4","69","231","134.4","31.3","129.0","+2.0"
"128","","Cameron Meredith","NO","WR53","6","67","268","135.8","34.8","140.0","+12.0"
"129","","Charles Clay","BUF","TE14","11","76","184","136.9","21.7","185.0","+56.0"
"130","","Aaron Jones","GB","RB46","7","54","215","133.3","31.1","105.0","-25.0"
"131","","Dak Prescott","DAL","QB18","8","76","183","136.4","22.9","123.0","-8.0"
"132","","Alex Smith","WAS","QB19","4","50","182","136.9","27.2","131.0","-1.0"
"133","","Devontae Booker","DEN","RB47","10","86","271","136.4","34.0","127.0","-6.0"
"134","","Tyler Eifert","CIN","TE15","9","58","202","143.5","26.5","141.0","+7.0"
"135","","O.J. Howard","TB","TE16","5","71","249","141.9","29.9","137.0","+2.0"
"136","","Dez Bryant","FA","WR54","","47","213","121.1","37.0","130.0","-6.0"
"137","","Eric Ebron","IND","TE17","9","82","196","141.2","26.1","180.0","+43.0"
"138","","Kenny Golladay","DET","WR55","6","88","230","129.8","30.0","150.0","+12.0"
"139","","Cameron Brate","TB","TE18","5","80","191","144.5","23.0","166.0","+27.0"
"140","","Mohamed Sanu","ATL","WR56","8","63","243","138.9","35.7","176.0","+36.0"
"141","","Jared Cook","OAK","TE19","7","65","194","147.7","25.1","179.0","+38.0"
"142","","Jacksonville Jaguars","","DST1","9","117","259","143.4","25.3","111.0","-31.0"
"143","","Bilal Powell","NYJ","RB48","11","89","279","146.4","40.6","183.0","+40.0"
"144","","Corey Clement","PHI","RB49","9","90","276","147.9","32.5","133.0","-11.0"
"145","","Calvin Ridley","ATL","WR57","8","76","225","148.1","31.6","126.0","-19.0"
"146","","Tyler Lockett","SEA","WR58","7","91","261","145.2","41.5","172.0","+26.0"
"147","","Nyheim Hines","IND","RB50","9","76","265","149.1","39.1","147.0","0.0"
"148","","Minnesota Vikings","","DST2","10","131","261","151.1","25.0","132.0","-16.0"
"149","","Austin Seferian-Jenkins","JAC","TE20","9","83","222","155.9","28.3","152.0","+3.0"
"150","","Derek Carr","OAK","QB20","7","85","201","158.1","21.9","125.0","-25.0"
"151","","D'Onta Foreman","HOU","RB51","10","81","253","152.0","32.9","114.0","-37.0"
"152","","Ted Ginn","NO","WR59","6","70","235","150.4","30.4","194.0","+42.0"
"153","","Mitch Trubisky","CHI","QB21","5","90","198","159.1","24.1","146.0","-7.0"
"154","","Blake Bortles","JAC","QB22","9","61","230","160.0","30.9","169.0","+15.0"
"155","","Philadelphia Eagles","","DST3","9","136","262","157.6","23.9","134.0","-21.0"
"156","","Paul Richardson","WAS","WR60","4","114","223","154.4","31.0","165.0","+9.0"
"157","","Anthony Miller","CHI","WR61","5","72","253","154.5","39.3","168.0","+11.0"
"158","","Michael Gallup","DAL","WR62","8","79","246","153.8","36.9","156.0","-2.0"
"159","","Mike Williams","LAC","WR63","8","55","237","154.7","44.2","139.0","-20.0"
"160","","Jameis Winston","TB","QB23","5","100","220","164.0","29.4","153.0","-7.0"
"161","","Los Angeles Rams","","DST4","12","133","260","162.5","25.9","121.0","-40.0"
"162","","Martavis Bryant","OAK","WR64","7","74","271","158.6","38.2","144.0","-18.0"
"163","","Latavius Murray","MIN","RB52","10","115","225","163.5","21.2","159.0","-4.0"
"164","","Dede Westbrook","JAC","WR65","9","85","251","160.6","40.5","177.0","+13.0"
"165","","Matt Breida","SF","RB53","11","106","251","166.2","36.8","171.0","+6.0"
"166","","Benjamin Watson","NO","TE21","6","84","266","172.9","37.1","196.0","+30.0"
"167","","Chris Carson","SEA","RB54","7","81","262","165.1","39.9","142.0","-25.0"
"168","","Kenneth Dixon","BAL","RB55","10","111","235","166.1","29.4","178.0","+10.0"
"169","","Los Angeles Chargers","","DST5","8","133","263","166.0","22.8","151.0","-18.0"
"170","","Austin Ekeler","LAC","RB56","8","109","274","165.5","35.9","207.0","+37.0"
"171","","Tyrell Williams","LAC","WR66","8","97","229","157.1","37.3","216.0","+45.0"
"172","","Eli Manning","NYG","QB24","9","107","234","172.0","27.1","160.0","-12.0"
"173","","Ricky Seals-Jones","ARI","TE22","9","99","262","169.7","32.2","188.0","+15.0"
"174","","Houston Texans","","DST6","10","143","266","170.5","23.2","157.0","-17.0"
"175","","LeGarrette Blount","DET","RB57","6","87","261","169.6","35.5","155.0","-20.0"
"176","","Doug Martin","OAK","RB58","7","105","273","171.6","39.0","158.0","-18.0"
"177","","Denver Broncos","","DST7","10","140","264","171.6","25.8","162.0","-15.0"
"178","","Vance McDonald","PIT","TE23","7","62","257","173.1","34.2","170.0","-8.0"
"179","","Case Keenum","DEN","QB25","10","68","221","174.8","30.3","164.0","-15.0"
"180","","Frank Gore","MIA","RB59","11","101","226","167.3","24.3","198.0","+18.0"
"181","","Stephen Gostkowski","NE","K1","11","108","278","172.6","22.4","138.0","-43.0"
"182","","Andy Dalton","CIN","QB26","9","110","249","178.0","26.3","173.0","-9.0"
"183","","Jordan Matthews","NE","WR67","11","89","280","174.1","43.1","182.0","-1.0"
"184","","Peyton Barber","TB","RB60","5","119","263","175.9","37.4","205.0","+21.0"
"185","","Mike Gesicki","MIA","TE24","11","75","287","177.5","39.6","186.0","+1.0"
"186","","Austin Hooper","ATL","TE25","8","134","245","173.3","26.5","208.0","+22.0"
"187","","Justin Tucker","BAL","K2","10","121","280","176.2","22.6","148.0","-39.0"
"188","","Baltimore Ravens","","DST8","10","155","265","178.2","21.8","161.0","-27.0"
"189","","Chris Godwin","TB","WR68","5","120","245","175.0","31.6","214.0","+25.0"
"190","","Greg Zuerlein","LAR","K3","12","152","279","178.1","20.5","135.0","-55.0"
"191","","Darren Sproles","PHI","RB61","9","112","245","172.8","30.7","272.0","+81.0"
"192","","T.J. Yeldon","JAC","RB62","9","106","270","178.9","35.8","215.0","+23.0"
