"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","7","2.0","1.2","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","7","2.0","1.3","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","11","3.5","1.9","3.0","0.0"
"4","","Antonio Brown","PIT","WR1","7","1","9","4.5","1.7","5.0","+1.0"
"5","","Ezekiel Elliott","DAL","RB4","8","1","17","6.0","2.9","4.0","-1.0"
"6","","Alvin Kamara","NO","RB5","6","3","23","7.7","4.0","6.0","0.0"
"7","","DeAndre Hopkins","HOU","WR2","10","1","24","8.0","3.1","8.0","+1.0"
"8","","Odell Beckham Jr.","NYG","WR3","9","3","14","8.4","2.7","11.0","+3.0"
"9","","Saquon Barkley","NYG","RB6","9","2","21","9.1","3.8","7.0","-2.0"
"10","","Julio Jones","ATL","WR4","8","2","19","10.5","2.9","13.0","+3.0"
"11","","Michael Thomas","NO","WR5","6","7","19","12.2","2.9","16.0","+5.0"
"12","","Melvin Gordon","LAC","RB7","8","4","32","12.7","5.2","10.0","-2.0"
"13","","Keenan Allen","LAC","WR6","8","5","20","13.2","3.2","17.0","+4.0"
"14","","Kareem Hunt","KC","RB8","12","6","35","14.7","5.8","9.0","-5.0"
"15","","A.J. Green","CIN","WR7","9","6","26","16.0","3.0","20.0","+5.0"
"16","","Christian McCaffrey","CAR","RB9","4","5","67","17.0","7.8","15.0","-1.0"
"17","","Leonard Fournette","JAC","RB10","9","9","43","17.0","6.2","12.0","-5.0"
"18","","Davante Adams","GB","WR8","7","9","38","17.3","5.0","18.0","0.0"
"19","","Dalvin Cook","MIN","RB11","10","7","39","20.8","5.9","14.0","-5.0"
"20","","Rob Gronkowski","NE","TE1","11","14","53","22.9","6.2","21.0","+1.0"
"21","","Mike Evans","TB","WR9","5","15","41","23.0","5.3","22.0","+1.0"
"22","","Devonta Freeman","ATL","RB12","8","13","71","24.0","8.4","19.0","-3.0"
"23","","T.Y. Hilton","IND","WR10","9","13","47","25.2","5.7","29.0","+6.0"
"24","","Doug Baldwin","SEA","WR11","7","17","49","26.9","5.3","33.0","+9.0"
"25","","Stefon Diggs","MIN","WR12","10","11","50","27.4","7.1","31.0","+6.0"
"26","","Larry Fitzgerald","ARI","WR13","9","3","46","28.1","6.7","34.0","+8.0"
"27","","Travis Kelce","KC","TE2","12","17","59","28.2","7.7","26.0","-1.0"
"28","","Adam Thielen","MIN","WR14","10","10","61","28.8","8.0","32.0","+4.0"
"29","","Tyreek Hill","KC","WR15","12","13","50","30.3","6.1","28.0","-1.0"
"30","","Jerick McKinnon","SF","RB13","11","15","80","31.3","13.6","27.0","-3.0"
"31","","Joe Mixon","CIN","RB14","9","15","73","32.1","11.0","23.0","-8.0"
