"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","8","1.6","1.0","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","7","2.3","1.2","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","9","3.4","1.5","4.0","+1.0"
"4","","Ezekiel Elliott","DAL","RB4","8","1","10","3.8","1.6","3.0","-1.0"
"5","","Antonio Brown","PIT","WR1","7","2","8","4.9","1.2","5.0","0.0"
"6","","Alvin Kamara","NO","RB5","6","3","19","8.1","3.0","6.0","0.0"
"7","","Saquon Barkley","NYG","RB6","9","2","17","8.3","2.9","7.0","0.0"
"8","","DeAndre Hopkins","HOU","WR2","10","4","32","8.7","3.7","10.0","+2.0"
"9","","Odell Beckham Jr.","NYG","WR3","9","4","20","10.0","2.8","12.0","+3.0"
"10","","Melvin Gordon","LAC","RB7","8","4","23","10.3","3.1","11.0","+1.0"
"11","","Leonard Fournette","JAC","RB8","9","5","22","10.9","3.2","8.0","-3.0"
"12","","Julio Jones","ATL","WR4","8","5","19","11.6","2.6","14.0","+2.0"
"13","","Kareem Hunt","KC","RB9","12","6","29","12.0","3.7","9.0","-4.0"
"14","","Michael Thomas","NO","WR5","6","7","26","14.3","2.9","16.0","+2.0"
"15","","Keenan Allen","LAC","WR6","8","9","23","16.2","3.0","19.0","+4.0"
"16","","Dalvin Cook","MIN","RB10","10","7","32","16.7","4.4","13.0","-3.0"
"17","","A.J. Green","CIN","WR7","9","9","34","17.6","3.4","20.0","+3.0"
"18","","Davante Adams","GB","WR8","7","10","41","18.1","3.9","18.0","0.0"
"19","","Devonta Freeman","ATL","RB11","8","12","33","19.8","4.0","17.0","-2.0"
"20","","Christian McCaffrey","CAR","RB12","4","5","39","20.5","6.2","15.0","-5.0"
"21","","Jordan Howard","CHI","RB13","5","14","62","22.9","5.8","21.0","0.0"
"22","","Rob Gronkowski","NE","TE1","11","11","36","23.3","3.9","22.0","0.0"
"23","","Mike Evans","TB","WR9","5","15","52","24.4","6.4","25.0","+2.0"
"24","","Joe Mixon","CIN","RB14","9","12","60","25.8","7.2","23.0","-1.0"
"25","","T.Y. Hilton","IND","WR10","9","18","43","25.9","5.1","30.0","+5.0"
"26","","Doug Baldwin","SEA","WR11","7","20","58","29.1","6.2","36.0","+10.0"
"27","","Jerick McKinnon","SF","RB15","11","16","67","31.1","8.9","27.0","0.0"
