"Rank","Tier","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.6","0.9","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","8","2.3","1.1","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","13","2.9","1.4","3.0","0.0"
"4","1","","DeAndre Hopkins","HOU","WR1","10","4","12","6.1","1.4","5.0","+1.0"
"5","2","","Davante Adams","GB","WR2","11","4","22","6.3","2.7","6.0","+1.0"
"6","2","","Ezekiel Elliott","DAL","RB4","8","1","102","8.3","9.1","4.0","-2.0"
"7","2","","Julio Jones","ATL","WR3","9","4","18","8.9","2.8","11.0","+4.0"
"8","2","","David Johnson","ARI","RB5","12","1","37","8.9","4.6","7.0","-1.0"
"9","2","","Travis Kelce","KC","TE1","12","7","25","10.0","2.6","15.0","+6.0"
"10","2","","Michael Thomas","NO","WR4","9","4","19","10.4","3.2","10.0","0.0"
"11","2","","Odell Beckham Jr.","CLE","WR5","7","4","27","11.2","3.8","12.0","+1.0"
"12","2","","JuJu Smith-Schuster","PIT","WR6","7","4","28","12.1","4.4","14.0","+2.0"
"13","3","","James Conner","PIT","RB6","7","2","46","13.5","5.0","9.0","-4.0"
"14","3","","Le'Veon Bell","NYJ","RB7","4","2","41","14.1","4.8","8.0","-6.0"
"15","3","","Nick Chubb","CLE","RB8","7","1","38","16.2","4.6","19.0","+4.0"
"16","3","","Dalvin Cook","MIN","RB9","12","5","37","16.6","4.5","17.0","+1.0"
"17","3","","Tyreek Hill","KC","WR7","12","7","32","16.6","5.2","16.0","-1.0"
"18","3","","Mike Evans","TB","WR8","7","10","31","18.2","3.3","21.0","+3.0"
"19","3","","Joe Mixon","CIN","RB10","9","8","39","19.7","5.0","18.0","-1.0"
"20","3","","Keenan Allen","LAC","WR9","12","11","39","20.6","4.1","24.0","+4.0"
"21","3","","Todd Gurley","LAR","RB11","9","2","46","21.6","7.8","13.0","-8.0"
"22","3","","Antonio Brown","OAK","WR10","6","11","47","22.9","5.8","22.0","0.0"
"23","4","","Adam Thielen","MIN","WR11","12","14","49","26.1","5.0","23.0","0.0"
"24","4","","Stefon Diggs","MIN","WR12","12","17","45","27.1","4.7","34.0","+10.0"
"25","4","","George Kittle","SF","TE2","4","9","52","27.5","5.9","27.0","+2.0"
"26","4","","Kerryon Johnson","DET","RB12","5","15","55","28.7","7.1","29.0","+3.0"
"27","4","","Amari Cooper","DAL","WR13","8","18","54","29.6","6.7","33.0","+6.0"
"28","4","","Leonard Fournette","JAC","RB13","10","14","60","30.4","7.7","25.0","-3.0"
"29","4","","Aaron Jones","GB","RB14","11","14","68","31.1","8.1","31.0","+2.0"
"30","4","","Zach Ertz","PHI","TE3","10","15","51","32.2","6.7","26.0","-4.0"
"31","4","","Devonta Freeman","ATL","RB15","9","8","57","33.9","7.4","30.0","-1.0"
"32","4","","Brandin Cooks","LAR","WR14","9","19","65","34.5","7.1","39.0","+7.0"
"33","4","","Julian Edelman","NE","WR15","10","18","63","34.6","8.7","37.0","+4.0"
"34","4","","Robert Woods","LAR","WR16","9","18","63","35.0","7.5","41.0","+7.0"
