"Rank","Tier","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","4","1.5","0.8","1.0","0.0"
"2","1","","Alvin Kamara","NO","RB2","9","1","11","2.6","1.2","2.0","0.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","1","12","2.7","1.1","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","98","7.1","9.2","4.0","0.0"
"5","1","","Nick Chubb","CLE","RB5","7","1","24","7.5","4.0","10.0","+5.0"
"6","2","","David Johnson","ARI","RB6","12","2","36","7.6","4.8","7.0","+1.0"
"7","2","","DeAndre Hopkins","HOU","WR1","10","4","17","8.4","1.9","5.0","-2.0"
"8","2","","James Conner","PIT","RB7","7","2","53","9.0","5.2","6.0","-2.0"
"9","2","","Davante Adams","GB","WR2","11","5","24","10.5","2.7","9.0","0.0"
"10","2","","Julio Jones","ATL","WR3","9","5","28","12.2","3.6","13.0","+3.0"
"11","2","","Le'Veon Bell","NYJ","RB8","4","2","40","12.5","5.8","8.0","-3.0"
"12","2","","Odell Beckham Jr.","CLE","WR4","7","6","25","13.5","3.7","18.0","+6.0"
"13","2","","Dalvin Cook","MIN","RB9","12","4","39","14.1","5.9","17.0","+4.0"
"14","2","","Joe Mixon","CIN","RB10","9","5","36","14.3","5.6","16.0","+2.0"
"15","2","","Tyreek Hill","KC","WR5","12","7","30","15.3","4.3","15.0","0.0"
"16","2","","Travis Kelce","KC","TE1","12","7","37","15.6","3.6","20.0","+4.0"
"17","3","","Todd Gurley","LAR","RB11","9","2","64","16.4","9.2","11.0","-6.0"
"18","3","","JuJu Smith-Schuster","PIT","WR6","7","6","31","16.6","4.5","19.0","+1.0"
"19","3","","Michael Thomas","NO","WR7","9","9","37","18.3","4.0","14.0","-5.0"
"20","3","","Mike Evans","TB","WR8","7","11","31","20.0","3.3","22.0","+2.0"
"21","3","","Keenan Allen","LAC","WR9","12","18","45","25.8","4.4","27.0","+6.0"
"22","3","","Aaron Jones","GB","RB12","11","7","63","26.4","9.5","28.0","+6.0"
"23","3","","Antonio Brown","OAK","WR10","6","16","53","27.2","6.0","23.0","0.0"
"24","4","","Leonard Fournette","JAC","RB13","10","6","54","28.5","8.6","21.0","-3.0"
"25","4","","Chris Carson","SEA","RB14","11","5","72","28.5","10.2","32.0","+7.0"
"26","4","","Kerryon Johnson","DET","RB15","5","10","51","28.7","7.5","26.0","0.0"
"27","4","","Adam Thielen","MIN","WR11","12","19","60","31.3","6.7","25.0","-2.0"
"28","4","","Derrick Henry","TEN","RB16","11","7","67","31.6","10.3","36.0","+8.0"
"29","4","","Amari Cooper","DAL","WR12","8","18","60","31.9","6.9","34.0","+5.0"
"30","4","","Devonta Freeman","ATL","RB17","9","7","60","32.6","8.5","31.0","+1.0"
"31","4","","Brandin Cooks","LAR","WR13","9","20","69","33.0","6.4","40.0","+9.0"
"32","4","","George Kittle","SF","TE2","4","16","101","33.2","7.5","30.0","-2.0"
"33","4","","Sony Michel","NE","RB18","10","12","85","34.0","11.2","45.0","+12.0"
"34","4","","Patrick Mahomes","KC","QB1","12","13","65","35.0","8.8","12.0","-22.0"
"35","4","","Stefon Diggs","MIN","WR14","12","21","54","35.3","7.3","35.0","0.0"
"36","4","","Zach Ertz","PHI","TE3","10","18","67","36.0","8.8","29.0","-7.0"
"37","4","","Robert Woods","LAR","WR15","9","19","73","37.5","8.2","43.0","+6.0"
"38","4","","Josh Jacobs","OAK","RB19","6","16","139","38.7","8.3","33.0","-5.0"
"39","4","","David Montgomery","CHI","RB20","6","9","201","41.6","13.3","39.0","0.0"
"40","4","","Chris Godwin","TB","WR16","7","21","100","42.2","9.8","49.0","+9.0"
"41","4","","Tyler Lockett","SEA","WR17","11","24","88","42.2","12.8","48.0","+7.0"
"42","4","","Mark Ingram","BAL","RB21","8","14","77","42.6","10.8","41.0","-1.0"
"43","5","","Julian Edelman","NE","WR18","10","21","88","45.2","9.6","42.0","-1.0"
"44","5","","Kenny Golladay","DET","WR19","5","29","102","45.6","9.0","50.0","+6.0"
"45","5","","Marlon Mack","IND","RB22","6","36","79","45.7","9.4","38.0","-7.0"
"46","5","","Damien Williams","KC","RB23","12","17","93","45.8","14.3","24.0","-22.0"
"47","5","","Deshaun Watson","HOU","QB2","10","26","83","51.8","9.1","37.0","-10.0"
"48","5","","O.J. Howard","TB","TE4","7","23","95","51.9","9.5","55.0","+7.0"
"49","5","","Melvin Gordon","LAC","RB24","12","5","227","52.9","24.4","46.0","-3.0"
"50","5","","Cooper Kupp","LAR","WR20","9","27","106","53.2","12.8","51.0","+1.0"
"51","5","","Phillip Lindsay","DEN","RB25","10","27","83","53.7","10.9","52.0","+1.0"
"52","5","","Tevin Coleman","SF","RB26","4","17","104","56.0","12.8","54.0","+2.0"
"53","5","","T.Y. Hilton","IND","WR21","6","46","102","56.4","12.1","44.0","-9.0"
"54","5","","Mike Williams","LAC","WR22","12","30","88","58.0","11.5","58.0","+4.0"
"55","5","","Aaron Rodgers","GB","QB3","11","32","100","60.3","10.5","47.0","-8.0"
"56","5","","Tyler Boyd","CIN","WR23","9","31","108","61.2","14.2","56.0","0.0"
"57","5","","D.J. Moore","CAR","WR24","7","32","133","61.4","13.9","67.0","+10.0"
"58","6","","Calvin Ridley","ATL","WR25","9","30","103","62.2","12.6","53.0","-5.0"
"59","6","","Evan Engram","NYG","TE5","11","36","131","62.7","13.6","61.0","+2.0"
"60","6","","Duke Johnson","HOU","RB27","10","37","109","63.2","14.1","70.0","+10.0"
"61","6","","Hunter Henry","LAC","TE6","12","26","135","63.6","12.3","66.0","+5.0"
"62","6","","Allen Robinson","CHI","WR26","6","38","121","64.5","13.8","78.0","+16.0"
"63","6","","Alshon Jeffery","PHI","WR27","10","41","102","64.8","12.1","64.0","+1.0"
"64","6","","Josh Gordon","NE","WR28","10","35","134","66.6","17.9","65.0","+1.0"
"65","6","","James White","NE","RB28","10","45","126","68.2","12.1","63.0","-2.0"
"66","6","","Miles Sanders","PHI","RB29","10","39","227","68.5","24.8","68.0","+2.0"
"67","6","","Latavius Murray","NO","RB30","9","22","143","69.1","16.0","83.0","+16.0"
"68","6","","Robby Anderson","NYJ","WR29","4","33","121","69.6","13.6","77.0","+9.0"
"69","6","","Baker Mayfield","CLE","QB4","7","43","119","70.1","11.4","57.0","-12.0"
"70","6","","Austin Ekeler","LAC","RB31","12","29","185","71.5","18.6","60.0","-10.0"
"71","6","","Matt Ryan","ATL","QB5","9","25","129","75.2","15.9","62.0","-9.0"
"72","6","","Derrius Guice","WAS","RB32","10","34","131","75.8","18.4","76.0","+4.0"
"73","6","","Kenyan Drake","MIA","RB33","5","17","208","77.5","20.0","74.0","+1.0"
"74","6","","A.J. Green","CIN","WR30","9","43","145","77.5","20.1","59.0","-15.0"
"75","6","","Tarik Cohen","CHI","RB34","6","29","149","81.8","18.6","71.0","-4.0"
"76","6","","Carson Wentz","PHI","QB6","10","54","162","82.0","14.7","73.0","-3.0"
"77","6","","Jarvis Landry","CLE","WR31","7","34","141","82.2","14.2","69.0","-8.0"
"78","6","","Devin Singletary","BUF","RB35","6","38","162","82.6","22.9","112.0","+34.0"
"79","6","","Sammy Watkins","KC","WR32","12","42","151","83.6","13.6","86.0","+7.0"
"80","6","","Rashaad Penny","SEA","RB36","11","45","199","83.9","20.2","97.0","+17.0"
"81","6","","Will Fuller","HOU","WR33","10","44","166","84.1","15.6","80.0","-1.0"
"82","6","","Cam Newton","CAR","QB7","7","37","149","84.2","13.7","87.0","+5.0"
"83","7","","Curtis Samuel","CAR","WR34","7","52","163","85.4","15.7","96.0","+13.0"
"84","7","","Royce Freeman","DEN","RB37","10","39","164","85.9","21.1","107.0","+23.0"
"85","7","","Marvin Jones","DET","WR35","5","59","158","87.8","14.5","92.0","+7.0"
